Institution Name,Location,District,Seats,Type
Patan Multiple Campus,Patandhoka,Lalitpur,144,Constituent
Amrit Campus,Lainchaur,Kathmandu,144,Constituent
Bhaktapur Multiple Campus,Bhaktapur,Bhaktapur,72,Constituent
Padmakanya Multiple Campus,Bagbazar,Kathmandu,72,Constituent
St. Xavier's College,Maitighar,Kathmandu,48,Affiliated
Kathford International College of Engineering and Management,Balkumari,Lalitpur,48,Affiliated
New Summit College,Tinkune,Kathmandu,48,Affiliated
Prime College,Khushibu,Kathmandu,48,Affiliated
St. Lawrence College,Chabahil,Kathmandu,36,Affiliated
College of Applied Business and Technology,Chabahil,Kathmandu,36,Affiliated
Kathmandu Bernhardt College,Baphal,Kathmandu,48,Affiliated
Deerwalk Institure of Technology,Siphal,Kathmandu,48,Affiliated
Vedas College,Jawalakhel,Lalitpur,48,Affiliated
Texas International College,Chabahil,Kathmandu,48,Affiliated
Ambition College,Baneswor,Kathmandu,36,Affiliated
National College of Computer Studies,Pakanajol,Kathmandu,48,Affiliated
Orchid International College,Gaushala,Kathmandu,48,Affiliated
Sagarmatha College of Science and Technology,Sanepa,Lalitpur,48,Affiliated
Nagarjuna College of Information Technology,Pulchok,Lalitpur,36,Affiliated
Academia International College,Gwarko,Lalitpur,48,Affiliated
Himalaya College of Engineering,Shankamul,Kathmandu,48,Affiliated
Asian School of Management and Technology,Samkhushi,Kathmandu,48,Affiliated
Madan Bhandari Memorial College,Binayak Nagar,Kathmandu,48,Affiliated
Nepalaya College,Kalanki,Kathmandu,36,Affiliated
Asian College of Higher Studies,Kumari hall,Kathmandu,48,Affiliated
Trinity International College,Dilli Bazar,Kathmandu,48,Affiliated
Samriddhi College,Lokanthali,Bhaktapur,48,Affiliated
Swastik College,Thimi,Bhaktapur,36,Affiliated
Kathmandu College of Technology,Sano Thimi,Bhaktapur,36,Affiliated
NIST College,Banepa,Kabhrepalanchok,36,Affiliated
Shree Siddhanath Science Campus,Mahendranagar,Kanchanpur,72,Constituent
Ramswarup Ramsagar Multiple Campus,Janakpur,Dhanusha,36,Constituent
Mechi Multiple Campus,Bhadrapur,Jhapa,36,Constituent
Shreeyantra College,Damak,Jhapa,48,Affiliated
Central Campus of Technology,Dharan,Sunsari,36,Constituent
Birendra Memorial College,Dharan,Sunsari,48,Constituent
Godawari College,Itahari,Sunsari,36,Affiliated
Mahendra Morang Aadarsha Multiple Campus,Biratnagar,Morang,36,Constituent
Birat Kshitiz College,Biratnagar,Morang,36,Affiliated
Nihareeka College,Biratnagar,Morang,36,Affiliated
Birat Multiple College,Biratnagar,Morang,36,Affiliated
AIMS College,Biratnagar,Morang,36,Affiliated
Himalaya Darshan College,Biratnagar,Morang,36,Affiliated
National Infotech College,Birgunj,Parsa,48,Affiliated
Hetauda City College,Hetauda,Makawanpur,36,Affiliated
Birendara Multiple Campus,Bharatpur,Chitawan,72,Affiliated
Indreni College,Bharatpur,Chitawan,36,Affiliated
Lumbini ICT Campus,Gaindakot,Nawalpur,48,Affiliated
Prithivi Narayan Campus,Pokhara,Kaski,72,Constituent
Mount Annapurna Campus,Pokhara,Kaski,36,Affiliated
Soch College of IT,Pokhara,Kaski,36,Affiliated
Butwal Multiple Campus,Butwal,Rupandehi,72,Constituent
Lumbini City College,Butwal,Rupandehi,36,Affiliated
Nepathya College,Butwal,Rupandehi,36,Affiliated
Bhairahawa Multiple Campus,Rupandehi,Rupandehi,72,Constituent
Mahendra Multiple Campus,Nepalgunj,Banke,36,Constituent
Banke Bageshwori Campus,Nepalgunj,Banke,36,Affiliated
Nepalgunj Campus,Nepalgunj,Banke,36,Affiliated
Mahendra Multiple Campus,Dang,Dang,36,Constituent
Ambikeshwari Campus,Dang,Dang,36,Affiliated